imp_type,pp_coef,random_state,data_split,dataset
pearson,0.6581777197260644,0,8,wine
spearman,0.6581777197260644,0,8,wine
kendall,0.6581777197260644,0,8,wine
pps,0.5954540388718168,0,8,wine
gini,0.973461843356526,1,8,wine
mutual_info,0.973461843356526,1,8,wine
f_test,0.9693015983581525,1,8,wine
pimp,0.9408866995073891,1,8,wine
shap,0.9408866995073891,1,8,wine
pearson,0.6450108293460287,1,8,wine
spearman,0.6450108293460287,1,8,wine
kendall,0.6450108293460287,1,8,wine
pps,0.6717840704943385,1,8,wine
gini,0.9728000000000001,2,8,wine
mutual_info,0.9728000000000001,2,8,wine
f_test,0.9457310924219178,2,8,wine
pimp,0.8297836606380844,2,8,wine
shap,0.9149057831003499,2,8,wine
pearson,0.6581777197260644,2,8,wine
spearman,0.6581777197260644,2,8,wine
kendall,0.6581777197260644,2,8,wine
pps,0.6246476389911325,2,8,wine
gini,1.0004249598020036,3,8,wine
mutual_info,0.9411892713926744,3,8,wine
f_test,0.9691616798081911,3,8,wine
