dataset,imp_type,random_state,data_split,fi_order,fi_selected,timings
regr_features_10_samples_1000_seed_0,pps,0,5,"[9, 3, 6, 4, 2, 5, 7, 8, 0, 1]","[9, 3]","[0.11023895 0.11207821 0.1079499  0.10618332 0.10720475 0.10631914
 0.10751616 0.10613063 0.10638766 0.10684522]"
regr_features_10_samples_1000_seed_0,mutual_info,0,6,"[1, 5, 6, 9, 7, 2, 0, 3, 4, 8]","[1, 5]","[0.0352959  0.03364545 0.03236871 0.03078864 0.03055641 0.03072521
 0.03067433 0.03073109 0.03066494 0.03062784]"
regr_features_10_samples_1000_seed_0,f_test,0,6,"[1, 0, 5, 3, 7, 2, 8, 9, 6, 4]","[1, 0]","[0.00177199 0.00153799 0.00147971 0.00148125 0.00145954 0.0015262
 0.00145604 0.00150657 0.00135462 0.00136313]"
regr_features_10_samples_1000_seed_0,pearson,0,6,"[1, 0, 5, 3, 7, 2, 8, 9, 6, 4]","[1, 0]","[0.00203087 0.00177052 0.00195549 0.00194117 0.00178981 0.00153855
 0.00142754 0.00170295 0.00158477 0.00196092]"
regr_features_10_samples_1000_seed_0,spearman,0,6,"[1, 0, 5, 2, 7, 3, 9, 8, 6, 4]","[1, 0]","[0.00278796 0.00243508 0.00263272 0.0027581  0.00254633 0.00261604
 0.00256822 0.00251732 0.00244317 0.00242294]"
regr_features_10_samples_1000_seed_0,kendall,0,6,"[1, 0, 5, 2, 7, 3, 9, 8, 6, 4]","[1, 0]","[0.02021011 0.019922   0.01993657 0.01993397 0.02101475 0.02051481
 0.02026002 0.02035378 0.01999466 0.02017517]"
regr_features_10_samples_1000_seed_0,pps,0,6,"[8, 3, 5, 4, 9, 2, 6, 7, 0, 1]","[8, 3]","[0.11321508 0.11323576 0.10829048 0.10684866 0.10677073 0.10719283
 0.10741623 0.10768864 0.10675988 0.10839712]"
regr_features_10_samples_1000_seed_0,mutual_info,0,7,"[1, 5, 7, 6, 9, 0, 2, 3, 8, 4]","[1, 5]","[0.0360925  0.03400836 0.03484627 0.03156948 0.03049944 0.0306739
 0.03058037 0.03052624 0.03068213 0.03074192]"
regr_features_10_samples_1000_seed_0,f_test,0,7,"[1, 0, 9, 8, 5, 6, 4, 7, 2, 3]","[1, 0]","[0.00263905 0.0024004  0.00234448 0.00218856 0.00226935 0.00164087
 0.0016791  0.00168387 0.00162215 0.00169087]"
regr_features_10_samples_1000_seed_0,pearson,0,7,"[1, 0, 9, 8, 5, 6, 4, 7, 2, 3]","[1, 0]","[0.00183587 0.00155802 0.00167963 0.00171297 0.00169884 0.00190899
 0.00188875 0.00177125 0.00183269 0.00154247]"
regr_features_10_samples_1000_seed_0,spearman,0,7,"[1, 0, 9, 5, 6, 2, 8, 4, 7, 3]","[1, 0]","[0.00281309 0.0024519  0.00283506 0.00253918 0.00238823 0.00262197
 0.00257153 0.00240124 0.00261364 0.00254225]"
regr_features_10_samples_1000_seed_0,kendall,0,7,"[1, 0, 9, 5, 6, 8, 2, 4, 7, 3]","[1, 0]","[0.01982967 0.01957322 0.01968682 0.01967393 0.02070297 0.02053967
 0.01998378 0.01989029 0.01970472 0.01966798]"
